,id,event_timestamp,annual_inc,short_emp,emp_length_num,dti,last_delinq_none,revol_util,total_rec_late_fee,od_ratio,bad_loan,grade_A,grade_B,grade_C,grade_D,grade_E,grade_F,grade_G,home_ownership_MORTGAGE,home_ownership_OWN,home_ownership_RENT,purpose_car,purpose_credit_card,purpose_debt_consolidation,purpose_home_improvement,purpose_house,purpose_major_purchase,purpose_medical,purpose_moving,purpose_other,purpose_small_business,purpose_vacation,purpose_wedding,term_ 36 months,term_ 60 months
10,9828271,2016-02-08 14:19:57+00:00,102000,0,11,23.9,0,57.0,0.0,0.695201635,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
11,9934676,2016-02-08 15:16:43+00:00,84000,0,11,19.56,0,52.5,0.0,0.328954449,1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
12,9001565,2016-02-08 15:43:50+00:00,200000,0,11,7.21,1,29.8,0.0,0.494031866,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
13,9808485,2016-02-08 16:50:57+00:00,40800,1,1,26.21,1,28.4,0.0,0.524121363,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
14,10064734,2016-02-08 17:27:39+00:00,70000,0,11,11.23,0,84.3,0.0,0.298541245,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
15,10104967,2016-02-08 17:30:18+00:00,80000,0,11,4.02,0,68.6,0.0,0.46310814,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
16,9924735,2016-02-08 18:11:11+00:00,120000,0,4,14.02,1,71.2,0.0,0.984784293,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
17,10105115,2016-02-08 18:11:11+00:00,37000,1,1,19.62,1,68.5,0.0,0.501134921,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
18,10105178,2016-02-08 19:47:42+00:00,90000,0,11,7.13,0,69.8,0.0,0.398072447,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
19,10075202,2016-02-08 19:47:42+00:00,150000,0,4,7.57,1,34.4,0.0,0.727905317,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
20,9654640,2016-02-08 20:13:22+00:00,126000,0,9,11.48,1,64.7,0.0,0.86333097,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
21,10175470,2016-02-08 21:00:17+00:00,55200,0,4,22.83,0,42.1,0.0,0.026169537,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
22,8944858,2016-02-08 21:10:10+00:00,75000,0,7,23.58,0,51.6,0.0,0.290017181,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
23,10214568,2016-02-08 21:30:31+00:00,30000,0,4,30.28,0,43.6,0.0,0.789069194,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
24,10075541,2016-02-09 05:54:01+00:00,27000,1,1,18.09,0,0.0,0.0,0.457119669,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
25,10075730,2016-02-09 06:10:59+00:00,35400,0,11,15.73,0,36.6,0.0,0.00692848,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
26,10115896,2016-02-09 06:46:32+00:00,33000,1,1,15.6,1,46.7,0.0,0.419335457,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
27,10086141,2016-02-09 07:18:10+00:00,43000,0,2,27.75,1,83.6,0.0,0.330674764,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
28,10106041,2016-02-09 07:28:15+00:00,62692,0,9,9.63,0,59.2,0.0,0.604152128,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
29,10166062,2016-02-09 07:25:40+00:00,70000,0,7,13.85,1,61.2,0.0,0.324620837,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
30,10086164,2016-02-09 07:44:49+00:00,37000,0,11,13.95,1,48.0,0.0,0.981251081,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
31,10126218,2016-02-09 07:48:40+00:00,79000,1,1,19.87,0,57.1,0.0,0.588231951,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
32,10166166,2016-02-09 07:48:40+00:00,160000,0,6,13.58,0,76.0,0.0,0.131091948,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
33,9645048,2016-02-09 08:00:16+00:00,124800,1,1,4.23,0,5.5,0.0,0.520977704,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
34,10115641,2016-02-09 08:02:55+00:00,42000,0,11,18.37,1,55.3,0.0,0.3579784,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
35,10096681,2016-02-09 08:18:58+00:00,130000,1,1,8.94,0,41.4,0.0,0.014999977,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
36,10126703,2016-02-09 09:07:19+00:00,45000,0,11,22.91,1,26.8,0.0,0.096429907,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
37,10156788,2016-02-09 10:07:49+00:00,65500,0,7,27.68,0,70.6,0.0,0.784234787,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
38,10176783,2016-02-09 11:09:49+00:00,70000,1,1,27.36,0,49.0,0.0,0.427003044,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
39,10076700,2016-02-09 11:28:49+00:00,90300,0,11,3.52,0,31.0,0.0,0.197951823,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
40,10156609,2016-02-09 12:31:08+00:00,50000,0,6,8.5,0,47.7,0.0,0.624101527,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
41,10086931,2016-02-09 15:33:59+00:00,28600,1,0,11.37,1,40.0,0.0,0.640288939,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
42,10106916,2016-02-09 17:12:40+00:00,54000,0,2,23.76,1,39.2,0.0,0.270702748,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
43,10066954,2016-02-09 17:13:58+00:00,90000,0,2,20.51,0,15.7,0.0,0.129817783,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
44,10127136,2016-02-09 18:20:58+00:00,75000,0,11,7.46,0,12.4,0.0,0.472723117,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
45,10087163,2016-02-09 18:20:58+00:00,120000,1,1,2.17,1,15.1,0.0,0.390626477,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
46,10137295,2016-02-09 22:37:48+00:00,50000,0,7,7.06,1,4.0,0.0,0.405080116,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
47,10127016,2016-02-09 22:37:48+00:00,115000,0,2,7.8,0,86.8,0.0,0.376149041,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
48,10077050,2016-02-10 06:17:32+00:00,270000,0,6,18.77,1,81.5,0.0,0.292174748,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
49,10117251,2016-02-10 06:18:49+00:00,158000,0,2,0.23,1,25.5,0.0,0.55288259,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
50,10064847,2016-02-10 06:29:48+00:00,101000,0,3,16.16,1,63.1,0.0,0.431185612,1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
51,10097354,2016-02-10 08:19:15+00:00,100000,0,6,22.73,1,64.5,0.0,0.783761629,1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
52,10087603,2016-02-10 08:35:27+00:00,27297,1,1,20.42,1,58.2,0.0,0.700773197,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
53,10177725,2016-02-10 08:44:31+00:00,48250,0,8,23.81,1,34.9,0.0,0.776409456,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
54,10107735,2016-02-10 08:39:16+00:00,62000,0,9,12.19,0,53.8,0.0,0.287829546,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
55,10234587,2016-02-10 08:39:16+00:00,35000,0,2,29.7,0,53.4,0.0,0.210314545,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
56,10067669,2016-02-10 08:48:06+00:00,70000,0,6,11.01,1,48.3,0.0,0.504113523,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
57,10097204,2016-02-10 09:06:09+00:00,62000,0,11,31.15,0,94.6,0.0,0.133125134,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
58,10127802,2016-02-10 09:06:09+00:00,75000,0,11,26.5,0,80.5,0.0,0.171363868,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
59,10067876,2016-02-10 09:08:29+00:00,136800,0,7,9.62,1,43.1,0.0,0.245464218,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
60,10167775,2016-02-10 09:08:29+00:00,52000,0,11,21.21,1,87.4,0.0,0.042663541,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
61,10147873,2016-02-10 09:18:13+00:00,60000,1,0,25.14,1,72.3,0.0,0.226386854,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
62,10077796,2016-02-10 09:34:38+00:00,26000,1,0,4.29,1,53.1,0.0,0.625732121,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
63,10167826,2016-02-10 10:18:13+00:00,17400,1,0,8.47,0,28.4,0.0,0.634323034,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
64,10147827,2016-02-10 10:21:52+00:00,52000,0,2,6.6,1,50.0,0.0,0.532939677,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
65,10137995,2016-02-10 10:47:49+00:00,48333,0,11,6.83,1,64.6,0.0,0.735385548,1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
66,10147912,2016-02-10 11:09:08+00:00,55000,0,5,2.9,0,53.9,0.0,0.815165589,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
67,10137986,2016-02-10 11:09:08+00:00,31000,1,0,27.8,0,45.5,0.0,0.374856177,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
68,10147930,2016-02-10 11:55:16+00:00,50000,0,3,13.75,1,30.1,0.0,0.804922509,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
69,10078030,2016-02-10 12:54:39+00:00,100000,0,11,2.87,0,6.2,0.0,0.8796494,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
70,10178005,2016-02-10 13:34:10+00:00,38500,0,9,18.13,0,41.5,0.0,0.586889242,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
71,9209616,2016-02-10 13:59:39+00:00,65000,0,10,20.33,1,60.4,0.0,0.655847353,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
72,9235939,2016-02-10 14:57:58+00:00,80000,0,11,25.55,0,41.0,0.0,0.290436239,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
73,10146175,2016-02-10 14:59:15+00:00,123000,0,7,10.9,0,21.6,0.0,0.388367193,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
74,10108395,2016-02-10 15:31:15+00:00,80000,0,11,18.99,1,58.6,0.0,0.127305486,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
75,10147584,2016-02-10 15:31:15+00:00,18500,1,1,2.92,1,6.7,0.0,0.212811509,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
76,10098413,2016-02-10 15:31:15+00:00,41600,0,3,17.22,1,73.9,0.0,0.755053686,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
77,10088403,2016-02-10 16:06:41+00:00,30000,0,8,11.12,1,56.8,0.0,0.578870685,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
78,10168314,2016-02-10 17:01:25+00:00,54000,1,0,14.11,0,55.0,0.0,0.631831707,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
79,9077525,2016-02-10 17:30:32+00:00,80000,0,5,15.86,1,44.6,0.0,0.957562404,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
80,9715493,2016-02-10 21:05:16+00:00,103000,0,11,5.88,1,6.0,0.0,0.094253365,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
81,9994715,2016-02-11 05:25:17+00:00,85000,0,2,22.72,1,54.6,0.0,0.127726885,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
82,10168647,2016-02-11 05:25:17+00:00,78000,0,11,23.15,1,79.1,0.0,0.406675531,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
83,10138744,2016-02-11 05:35:40+00:00,84000,1,1,5.63,1,42.5,0.0,0.222719412,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
84,9827694,2016-02-11 06:25:19+00:00,55000,0,3,14.23,1,94.4,0.0,0.531594467,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
85,10077243,2016-02-11 06:25:19+00:00,32000,0,6,23.52,0,70.1,0.0,0.830578975,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
86,10177748,2016-02-11 06:26:40+00:00,55000,0,2,24.11,1,57.9,0.0,0.604215529,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
87,9867699,2016-02-11 06:35:24+00:00,60000,0,10,12.64,1,28.2,0.0,0.185389483,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
88,10128829,2016-02-11 06:53:49+00:00,16092,1,0,29.98,1,92.7,0.0,0.381308533,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
89,10068776,2016-02-11 06:53:49+00:00,40000,0,7,15.51,0,54.7,0.0,0.283466549,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
90,9736435,2016-02-11 06:53:49+00:00,110000,0,6,5.75,0,55.3,0.0,0.703312454,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
